Plant_ID,lat,long,minT,maxT,meanT,preci,windspeed,dewpoint,humidityavg
BB1,-123.045127,38.336044,54,76,65,0,5,54,72
BB10,-123.046859,38.336463,54,76,65,0,5,54,72
BB11,-123.046801,38.336416,54,76,65,0,5,54,72
BB12,-123.046709,38.336389,54,76,65,0,5,54,72
BB2,-123.045082,38.336103,54,76,65,0,5,54,72
BB3,-123.045109,38.336041,54,76,65,0,5,54,72
BB4,-123.045369,38.336039,54,76,65,0,5,54,72
BB5,-123.045383,38.336086,54,76,65,0,5,54,72
BB6,-123.045622,38.336004,54,76,65,0,5,54,72
BB7,-123.046974,38.336453,54,76,65,0,5,54,72
BB8,-123.046983,38.33649,54,76,65,0,5,54,72
BB9,-123.046933,38.336504,54,76,65,0,5,54,72
BS1,-121.886842,36.331637,57,71,64,0,5,55,77
BS10,-121.892913,36.323002,57,71,64,0,5,55,77
BS11,-121.892884,36.323156,57,71,64,0,5,55,77
BS12,-121.892905,36.323235,57,71,64,0,5,55,77
BS2,-121.886811,36.33162,57,71,64,0,5,55,77
BS3,-121.886842,36.33159,57,71,64,0,5,55,77
BS4,-121.886598,36.331571,57,71,64,0,5,55,77
BS5,-121.887126,36.331565,57,71,64,0,5,55,77
BS6,-121.887071,36.331593,57,71,64,0,5,55,77
BS7,-121.892936,36.322904,57,71,64,0,5,55,77
BS8,-121.892922,36.322989,57,71,64,0,5,55,77
BS9,-121.892887,36.322866,57,71,64,0,5,55,77
CH1,-121.913426,36.419229,61,73,67,0,7,56,67
CH10,-121.900668,36.385578,61,73,67,0,7,56,67
CH11,-121.90025,36.383805,61,73,67,0,7,56,67
CH12,-121.900267,36.384448,61,73,67,0,7,56,67
CH2,-121.913405,36.419329,61,73,67,0,7,56,67
CH3,-121.913273,36.419394,61,73,67,0,7,56,67
CH4,-121.913259,36.419429,61,73,67,0,7,56,67
CH5,-121.913436,36.419194,61,73,67,0,7,56,67
CH6,-121.913451,36.419117,61,73,67,0,7,56,67
CH7,-121.900783,36.385693,61,73,67,0,7,56,67
CH8,-121.900754,36.385725,61,73,67,0,7,56,67
CH9,-121.900689,36.38554,61,73,67,0,7,56,67
JP1,-121.855592,36.569409,57,75,66,0,5,56,75
JP10,-121.860572,36.568481,57,75,66,0,5,56,75
JP11,-121.863192,36.566806,57,75,66,0,5,56,75
JP12,-121.863361,36.566628,57,75,66,0,5,56,75
JP2,-121.856436,36.568087,57,75,66,0,5,56,75
JP3,-121.856648,36.567986,57,75,66,0,5,56,75
JP4,-121.856438,36.567999,57,75,66,0,5,56,75
JP5,-121.858963,36.567638,57,75,66,0,5,56,75
JP6,-121.858432,36.568582,57,75,66,0,5,56,75
JP7,-121.85956,36.569205,57,75,66,0,5,56,75
JP8,-121.8596583,36.56926111,57,75,66,0,5,56,75
JP9,-121.860502,36.56873,57,75,66,0,5,56,75
LH1,-122.271018,37.307442,55,95,75,0,2,38,30
