number,Plant_ID,Flower_ID,tube_number,site_ID,sample_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),...32,Fcfu_corr,Bfcu_corr
1,LH1,1,1,LH,LH1,6/23/2015,6/24/2015,1,0.1,1,0.121065375,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
2,LH1,2,2,LH,LH2,6/23/2015,6/24/2015,2,1.4,14,1.694915254,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,38,1,NA,NA,NA,NA,19.5,39,6915.391539,3.839879571,NA,0,1918.8
3,LH1,3,3,LH,LH3,6/23/2015,6/24/2015,3,3.1,31,3.753026634,Yes,57,NA,NA,NA,NA,NA,NA,57,57,171.0607382,2.235681782,11,1,NA,NA,NA,NA,6,12,1079.411167,3.033589064,NA,1,279.7935484
4,LH1,4,4,LH,LH4,6/23/2015,6/24/2015,4,2.3,23,2.784503632,Yes,1,NA,NA,NA,NA,NA,NA,1,1,3.836009923,0.684487183,124,NA,NA,NA,NA,NA,124,124,14257.11267,4.154062042,NA,3.073043478,3810.573913
5,LH1,5,5,LH,LH5,6/23/2015,6/24/2015,5,0.3,3,0.363196126,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,1,1,761.4761476,2.882226262,NA,0,222.2666667
6,LH1,6,6,LH,LH6,6/23/2015,6/24/2015,6,0.9,9,1.089588378,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
7,LH1,7,7,LH,LH7,6/23/2015,6/24/2015,7,0.7,7,0.847457627,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,22,NA,NA,NA,NA,NA,22,22,7405.940594,3.869638861,NA,0,2120.8
8,LH1,8,8,LH,LH8,6/23/2015,6/24/2015,8,2,20,2.421307506,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,29,20,NA,NA,NA,NA,24.5,49,6346.624662,3.802611239,NA,0,1716.96
9,LH2,9,9,LH,LH9,6/23/2015,6/24/2015,1,2.2,22,2.663438257,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,7,2,NA,NA,NA,5.666666667,17,2029.539318,3.307611403,NA,0,544.6181818
10,LH2,10,10,LH,LH10,6/23/2015,6/24/2015,2,0.6,6,0.726392252,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,35,9,NA,NA,NA,NA,22,44,17148.51485,4.234251839,NA,0,4933.866667
11,LH2,11,11,LH,LH11,6/23/2015,6/24/2015,3,0.9,9,1.089588378,Yes,36,NA,NA,NA,NA,NA,NA,36,36,319.2792793,2.505528843,3,4,NA,NA,NA,NA,3.5,7,1860.786079,3.269929779,NA,271.52,527.9555556
12,LH2,12,12,LH,LH12,6/23/2015,6/24/2015,4,0.6,6,0.726392252,Yes,RM,NA,NA,NA,NA,NA,NA,NA,0,0,0,8,1,NA,NA,NA,NA,4.5,9,3507.650765,3.545140143,NA,0,1009.2
13,LH2,13,13,LH,LH13,6/23/2015,6/24/2015,5,1.6,16,1.937046005,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,1,1,157.4032403,2.199764061,NA,0,43.3
14,LH2,14,14,LH,LH14,6/23/2015,6/24/2015,6,0.4,4,0.484261501,Yes,1,NA,NA,NA,NA,NA,NA,1,1,19.2042042,1.305441749,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,16.72,0
15,LH2,15,15,LH,LH15,6/23/2015,6/24/2015,7,0.2,2,0.242130751,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
16,LH2,16,16,LH,LH16,6/23/2015,6/24/2015,8,2,20,2.421307506,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA,NA,3,3,388.5688569,2.590584231,NA,0,105.12
17,LH3,17,17,LH,LH17,6/23/2015,6/24/2015,1,0.6,6,0.726392252,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,1,1,389.7389739,2.591886732,NA,0,112.1333333
18,LH3,18,18,LH,LH18,6/23/2015,6/24/2015,2,0.4,4,0.484261501,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
19,LH3,19,19,LH,LH19,6/23/2015,6/24/2015,3,0.3,3,0.363196126,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
20,LH3,20,20,LH,LH20,6/23/2015,6/24/2015,4,2.3,23,2.784503632,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,1,1,114.9767151,2.064370804,NA,0,30.73043478
21,LH3,21,21,LH,LH21,6/23/2015,6/24/2015,5,0.8,8,0.968523002,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
