,ASVno,totalcount,Rel.abun,taxonomy,Genera
ASV_1,ASV_1,210364,13.70405766,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_3,ASV_3,39552,2.576595275,Fungi;;;;;;,Fungi;;;;;
ASV_4,ASV_4,35277,2.298102536,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia reukaufii ,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia
ASV_7,ASV_7,28493,1.856162246,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta ,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia
ASV_10,ASV_10,22404,1.459497384,Fungi;;;;;;,Fungi;;;;;
ASV_11,ASV_11,22381,1.457999061,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora valbyensis ,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ASV_9,ASV_9,21888,1.425882822,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_12,ASV_12,20009,1.303476306,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora nectarophila ,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ASV_13,ASV_13,19887,1.295528677,Fungi;Ascomycota;Eurotiomycetes;Aspergillaceae;Penicillium;Penicillium lapidosum ;,Fungi;Ascomycota;Eurotiomycetes;Aspergillaceae;Penicillium;Penicillium lapidosum 
ASV_14,ASV_14,18278,1.190711176,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces roseus ,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces
ASV_15,ASV_15,17726,1.154751412,Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;,Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia
ASV_17,ASV_17,15325,0.998339467,Fungi;;;;;;,Fungi;;;;;
ASV_18,ASV_18,14403,0.938276237,Fungi;Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces;,Fungi;Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces
ASV_19,ASV_19,14308,0.93208751,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia
ASV_21,ASV_21,11617,0.75678366,Fungi;;;;;;,Fungi;;;;;
ASV_22,ASV_22,11445,0.745578806,Fungi;;;;;;,Fungi;;;;;
ASV_23,ASV_23,10775,0.70193199,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;Shiraia
ASV_24,ASV_24,10768,0.701475979,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Fellomyces;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Fellomyces
ASV_25,ASV_25,10317,0.672095809,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;
ASV_26,ASV_26,10246,0.66747055,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia
ASV_27,ASV_27,10115,0.65893662,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora valbyensis ,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
